epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,496.414,1.0966,0.86771,0.90563,0.7171,0.54652,0.68218,0.49341,1.26509,0.88095,0.89667,0.000144726,0.000144726,0.000144726
84,503.663,1.08182,0.86198,0.90732,0.70262,0.61217,0.71301,0.51891,1.24587,0.863,0.89999,0.000137113,0.000137113,0.000137113
85,508.853,1.07055,0.85092,0.90354,0.7327,0.59153,0.71745,0.52509,1.24982,0.86395,0.90084,0.0001295,0.0001295,0.0001295
86,516.408,1.06095,0.8354,0.89847,0.67447,0.60922,0.72102,0.53513,1.24724,0.85329,0.89728,0.000121887,0.000121887,0.000121887
87,521.953,1.12557,0.87082,0.90884,0.64801,0.70675,0.72435,0.51368,1.27134,0.86861,0.89689,0.000114273,0.000114273,0.000114273
88,528.749,1.08682,0.85274,0.89999,0.65692,0.70911,0.72184,0.52495,1.25588,0.87565,0.89109,0.00010666,0.00010666,0.00010666
89,533.395,1.08766,0.85337,0.90389,0.64824,0.70812,0.71638,0.52741,1.24596,0.87367,0.88929,9.90472e-05,9.90472e-05,9.90472e-05
90,538.723,1.08772,0.84924,0.90235,0.62894,0.69325,0.72464,0.54238,1.23091,0.86844,0.89045,9.14341e-05,9.14341e-05,9.14341e-05
91,545.251,1.04992,0.86967,0.89559,0.69828,0.59188,0.71703,0.53177,1.22581,0.86404,0.89132,8.3821e-05,8.3821e-05,8.3821e-05
92,547.744,1.07311,0.85257,0.88713,0.69113,0.60445,0.71818,0.53441,1.23918,0.86889,0.89641,7.62079e-05,7.62079e-05,7.62079e-05
93,550.255,1.03829,0.82282,0.88997,0.71181,0.59786,0.70832,0.53302,1.25194,0.8783,0.89897,6.85948e-05,6.85948e-05,6.85948e-05
94,552.783,1.01743,0.83214,0.89102,0.76633,0.59569,0.71236,0.53505,1.25787,0.87701,0.90258,6.09817e-05,6.09817e-05,6.09817e-05
95,556.229,1.0421,0.81702,0.88627,0.75206,0.60307,0.70855,0.53483,1.2438,0.86081,0.89956,5.33686e-05,5.33686e-05,5.33686e-05
96,558.602,1.01444,0.80259,0.8932,0.72655,0.60577,0.71455,0.53753,1.23696,0.86169,0.89546,4.57555e-05,4.57555e-05,4.57555e-05
97,560.863,1.01813,0.8116,0.88734,0.72035,0.59464,0.71557,0.54151,1.24273,0.8598,0.8979,3.81424e-05,3.81424e-05,3.81424e-05
98,563.122,1.03018,0.80861,0.88567,0.65925,0.62417,0.739,0.54419,1.23559,0.86181,0.89819,3.05293e-05,3.05293e-05,3.05293e-05
99,565.395,0.99417,0.80073,0.88084,0.55612,0.78223,0.74481,0.54238,1.22284,0.87303,0.89881,2.29162e-05,2.29162e-05,2.29162e-05
100,568.798,1.01518,0.79594,0.88801,0.57388,0.77464,0.72206,0.53065,1.21931,0.87465,0.89808,1.53031e-05,1.53031e-05,1.53031e-05
